LANG_KEY|LANG_1|LANG_2
a Strategy|استراتيجية|a Strategy
A survey has not been set in the settings for the courses|هذا الاستبيان لم يتم وضعه في إعدادات المادة الدراسية|A survey has not been set in the settings for the courses
Abbreviation|الاختصار|Abbreviation
About|حول|About
About Me|بياناتي|About Me
About Me Changed Successfully|تم إدخال بياناتي بنجاح|About Me Changed Successfully
Academic|الأكاديمي|Academic
Academic Advising|نصائح أكاديمية|Academic Advising
Academic Article|المادة الأكاديمية|Academic Article
Academic dishonesty|عدم الامانة الأكاديمية|Academic dishonesty
Academic Dishonesty Policies|سياسات عدم الأمانة الأكاديمية|Academic Dishonesty Policies
Academic Information|البيانات الأكاديمية|Academic Information
Academic plagiarism|الانتحال الأكاديمي|Academic plagiarism
Academic Plagiarism Policies|سياسات الانتحال الأكاديمي|Academic Plagiarism Policies
Academic Qualification|المؤهل العلمي|Academic Qualification
Academic Qualifications|المؤهلات العلمية|Academic Qualifications
Academic Rank|الرتبة الأكاديمية|Academic Rank
Academic Ranks|الرتب العلمية|Academic Ranks
Academic Unit|الوحدة الأكاديمية|Academic Unit
Academic Year|السنة الأكاديمية|Academic Year
Accepted for International Conference|المقبولة للمؤتمرات الدولية|Accepted for International Conference
Account Settings|إعدادات الملف الشخصي|Account Settings
Accreditation|اعتماد|Accreditation
Accreditation Agency removed successfully|تم إزالة هيئة الاعتماد بنجاح|Accreditation Agency removed successfully
Accreditation KPI|مؤشر الأداء الرئيسي للاعتماد|Accreditation KPI
Accreditation KPIs|مؤشرات الأداء الرئيسية للاعتماد|Accreditation KPIs
Accreditation KPIs Benchmarks Report|تقرير مؤشر مؤشرات الأداء الرئيسية للاعتماد|Accreditation KPIs Benchmarks Report
Accreditation KPIs Details Report|التقرير التفصيلي لمؤشرات الأداء الخاصة بالإعتماد|Accreditation KPIs Details Report
Accreditation KPIs Trend Report|تقرير اتجاه مؤشرات الأداء الرئيسية للاعتماد|Accreditation KPIs Trend Report
Accreditation Name|اسم الاعتماد|Accreditation Name
Accreditation Progress|تقدم الاعتماد|Accreditation Progress
Accreditation Status|حالة الاعتماد|Accreditation Status
