program_id,percentage,assessors,reviewers
24,3,4,1
117,12,3,2
118,16,1,1
119,86,3,2
120,38,1,1
126,72,5,2
127,82,5,2
128,34,2,2
129,1,2,1
130,43,1,1
131,68,5,2
132,70,5,2
134,29,3,2
136,28,4,1
137,33,5,2
138,50,1,2
139,100,5,1
182,54,4,1
183,50,4,2
184,86,5,2
185,61,3,1
186,1,5,1
187,59,2,2
188,86,3,1
189,67,4,1
190,55,4,1
191,15,2,2
192,94,5,1
264,24,2,1
265,98,4,1
266,25,4,2
267,40,1,1
268,55,2,1
269,20,5,1
270,83,4,2
271,8,2,2
272,37,2,2
273,92,4,1
274,87,4,1
817,65,1,2
819,43,2,2
820,27,5,2
823,56,5,1
824,16,1,2
978,74,2,2
980,81,1,2
981,3,2,1
985,85,4,2
991,55,1,1
992,24,5,1
993,51,1,1
994,66,4,1
995,93,2,2
996,7,2,1
997,59,2,1
1002,70,5,2
1003,81,3,2
1006,94,1,1
1010,18,3,2
1011,43,3,1
1013,86,3,1
1014,22,5,2
1033,18,1,2
1034,64,4,1
1880,8,3,2
