ID,Type_AMS,Name_AMS,Name_ACC,Class_ACC
1,Text,InstitutionT6,institution,Course_Report
2,Date,DateofCourseReport,date,Course_Report
3,Text,CollegeDepartmentT6,college,Course_Report
4,,,department,Course_Report
5,Text,Coursetitle,course_title,Course_Report_A
6,Int,CodeNum,code_num,Course_Report_A
7,Int,SectionNum,section_num,Course_Report_A
8,Text,Nameofcourseinstructor,instructer,Course_Report_A
9,Text,Location,location,Course_Report_A
10,Text,Yearandsemester,semester,Course_Report_A
11,Int,Numberofstudents,student_starting_course,Course_Report_A
12,Int,Studentscompletingthecourse,student_complete_course,Course_Report_A
13,Table,CoursecomponentsTable,course_component,Course_Report_A
14,T1-Int,ContactHoursC1,course_component][2][2][lecture,Course_Report_A
15,T1-Int,ContactHoursC2,course_component][2][3][tutorial,Course_Report_A
16,T1-Int,ContactHoursC3,course_component][2][4][lab,Course_Report_A
17,T1-Int,ContactHoursC4,course_component][2][5][practical,Course_Report_A
18,T1-Int,ContactHoursC10,course_component][2][6][other,Course_Report_A
19,T1-Int,ContactHoursC11,course_component][2][7][total,Course_Report_A
20,T2-Int,ContactHoursC12,course_component][3][2][lecture,Course_Report_A
21,T2-Int,ContactHoursC22,course_component][3][3][tutorial,Course_Report_A
22,T2-Int,ContactHoursC32,course_component][3][4][lab,Course_Report_A
23,T2-Int,ContactHoursC42,course_component][3][5][practical,Course_Report_A
24,T2-Int,ContactHoursC102,course_component][3][6][other,Course_Report_A
25,T2-Int,ContactHoursC112,course_component][3][7][total,Course_Report_A
26,Dynamic Table,CRT1Topics,coverage_table,Course_Report_B
27,DT-Text,Topic,topic_1,Course_Report_B
28,DT-Real,PlannedContactHours,planned_hour,Course_Report_B
29,DT-Real,AcutalContactHours,actual_hour,Course_Report_B
30,DT-Para,ReasonVariations,reason,Course_Report_B
31,Dynamic Table,CRT2CompensationAction,consequences_of_non_coverage_of_topics,Course_Report_B
32,DT-Text,Topic,topic_2,Course_Report_B
33,DT-Text,EffectedLO,learning_outcomes_2,Course_Report_B
34,DT-Para,CompensatingAction,actions,Course_Report_B
35,Dynamic Table,CRT3CLOAssessments,course_learning,Course_Report_B
36,DT-Int,CLO,learning_outcomes_3,Course_Report_B
37,DT-Text,AssessmentMethod,methods_3,Course_Report_B
38,DT-Para,AssessmentResults,analysis,Course_Report_B
39,Para,Summarizeanyactions,summerize_action,Course_Report_B
40,Dynamic Table,CRT4TeachingMethods,effectivenes_strategic_plan,Course_Report_B
41,DT-Text,TeachingMethod,teaching_methods,Course_Report_B
42,DT-RB,effective,methods_4,Course_Report_B
43,DT-Para,DifficultiesExperienced,strategy,Course_Report_B
44,Table,DistributionofGradesTable,distribution_of_grades,Course_Report_C
45,T1-Int,NumberofStudentsC,distribution_of_grades][2][2][num_of_student,Course_Report_C
46,T1-Int,StudentPercentageC,distribution_of_grades][2][3][student_percent,Course_Report_C
47,T1-Para,ExplanationofDistributionofGradesC,distribution_of_grades][2][4][analysis,Course_Report_C
48,T2-Int,NumberofStudentsC2,distribution_of_grades][3][2][num_of_student,Course_Report_C
49,T2-Int,StudentPercentageC2,distribution_of_grades][3][3][student_percent,Course_Report_C
50,T2-Para,ExplanationofDistributionofGradesC2,distribution_of_grades][3][4][analysis,Course_Report_C
51,T3-Int,NumberofStudentsC3,distribution_of_grades][4][2][num_of_student,Course_Report_C
52,T3-Int,StudentPercentageC3,distribution_of_grades][4][3][student_percent,Course_Report_C
53,T3-Para,ExplanationofDistributionofGradesC3,distribution_of_grades][4][4][analysis,Course_Report_C
54,T4-Int,NumberofStudentsC4,distribution_of_grades][5][2][num_of_student,Course_Report_C
55,T4-Int,StudentPercentageC4,distribution_of_grades][5][3][student_percent,Course_Report_C
56,T4-Para,ExplanationofDistributionofGradesC4,distribution_of_grades][5][4][analysis,Course_Report_C
57,T5-Int,NumberofStudentsC5,distribution_of_grades][6][2][num_of_student,Course_Report_C
58,T5-Int,StudentPercentageC5,distribution_of_grades][6][3][student_percent,Course_Report_C
59,T5-Para,ExplanationofDistributionofGradesC5,distribution_of_grades][6][4][analysis,Course_Report_C
60,T6-Int,NumberofStudentsC6,distribution_of_grades][7][2][num_of_student,Course_Report_C
61,T6-Int,StudentPercentageC6,distribution_of_grades][7][3][student_percent,Course_Report_C
62,T6-Para,ExplanationofDistributionofGradesC6,distribution_of_grades][7][4][analysis,Course_Report_C
63,T7-Int,NumberofStudentsC7,distribution_of_grades][8][2][num_of_student,Course_Report_C
64,T7-Int,StudentPercentageC7,distribution_of_grades][8][3][student_percent,Course_Report_C
65,T7-Para,ExplanationofDistributionofGradesC7,distribution_of_grades][8][4][analysis,Course_Report_C
66,T8-Int,NumberofStudentsC8,distribution_of_grades][9][2][num_of_student,Course_Report_C
67,T8-Int,StudentPercentageC8,distribution_of_grades][9][3][student_percent,Course_Report_C
68,T8-Para,ExplanationofDistributionofGradesC8,distribution_of_grades][9][4][analysis,Course_Report_C
69,T9-Int,NumberofStudentsC9,distribution_of_grades][10][2][num_of_student,Course_Report_C
70,T9-Int,StudentPercentageC9,distribution_of_grades][10][3][student_percent,Course_Report_C
71,T9-Para,ExplanationofDistributionofGradesC9,distribution_of_grades][10][4][analysis,Course_Report_C
72,T10-Int,NumberofStudentsC10,distribution_of_grades][11][2][num_of_student,Course_Report_C
73,T10-Int,StudentPercentageC10,distribution_of_grades][11][3][student_percent,Course_Report_C
74,T10-Para,ExplanationofDistributionofGradesC10,distribution_of_grades][11][4][analysis,Course_Report_C
75,T11-Int,NumberofStudentsC11,distribution_of_grades][12][2][num_of_student,Course_Report_C
76,T11-Int,StudentPercentageC11,distribution_of_grades][12][3][student_percent,Course_Report_C
77,T11-Para,ExplanationofDistributionofGradesC11,distribution_of_grades][12][4][analysis,Course_Report_C
78,Para,Analyzespecialfactors,special_factors,Course_Report_C
79,Dynamic Table,CRT5VariationsInSchedule,assessment_plan_table,Course_Report_C
80,DT-Text,Variation,variation_a,Course_Report_C
81,DT-Para,Reason,reason_a,Course_Report_C
82,Dynamic Table,CRT6VariationsInDomain,assessment_process_table,Course_Report_C
83,DT-Text,Variation,variation_b,Course_Report_C
84,DT-Para,Reason,reason_b,Course_Report_C
85,Dynamic Table,CRT7MethodsOfVerification,student_grade,Course_Report_C
86,DT-Text,MethodOfVerification,method,Course_Report_C
87,DT-Para,Conclusion,conclusion,Course_Report_C
88,Para,Difficultiesinaccess,access_to_resources,Course_Report_D
89,Para,Consequencesofanydifficulties,student_learning,Course_Report_D
