ID,Type_AMS,Name_AMS,Name_ACC,Class_ACC
1,Text,Institution,institution,Course_Specifications
2,Date,DateOfReport,date,Course_Specifications
3,Text,CollegeDepartment,College,Course_Specifications
4,,,Department,Course_Specifications
5,Text,coursecode,course_code,Course_Specifications_A
6,Text,CourseTitle,course,Course_Specifications_A
7,Int,CreditHours,credit,Course_Specifications_A
8,Text,ProgramsNames,program,Course_Specifications_A
9,Text,FacultyMember,member,Course_Specifications_A
10,Text,LevelYear,level,Course_Specifications_A
11,Text,PreRequisitescourse,pre_req,Course_Specifications_A
12,Text,CoRequisitesCourse,co_req,Course_Specifications_A
13,Text,Location,location,Course_Specifications_A
14,Table,ModeOfInstructionTable,instruction,Course_Specifications_A
15,T0-Text,TraditionalclassroomAns,instruction][1][2][checkboxes,Course_Specifications_A
16,T0-Text,percentage,instruction][1][4][percent,Course_Specifications_A
17,T1-Text,TraditionalclassroomAns2,instruction][2][2][checkboxes,Course_Specifications_A
18,T1-Text,percentage2,instruction][2][4][percent,Course_Specifications_A
19,T2-Text,TraditionalclassroomAns3,instruction][3][2][checkboxes,Course_Specifications_A
20,T2-Text,percentage3,instruction][3][4][percent,Course_Specifications_A
21,T3-Text,TraditionalclassroomAns4,instruction][4][2][checkboxes,Course_Specifications_A
22,T3-Text,percentage4,instruction][4][4][percent,Course_Specifications_A
23,T4-Text,TraditionalclassroomAns5,instruction][5][2][checkboxes,Course_Specifications_A
24,T4-Text,percentage5,instruction][5][4][percent,Course_Specifications_A
25,Para,Comments,comment,Course_Specifications_A
26,Para,MainPurpose,purpose,Course_Specifications_B
27,Para,BrieflyDescribeAnyPlans,plan,Course_Specifications_B
28,Dynamic Table,listoftopics,topic,Course_Specifications_C
29,DT-Text,Topic,list_of_topic,Course_Specifications_C
30,DT-Real,NumOfWeeks,no_of_weeks,Course_Specifications_C
31,DT-Real,ContactHours,contact_hours,Course_Specifications_C
32,Table,CourseComponents,component,Course_Specifications_C
33,T2-Text,NoOfHour,component][2][2][contact_hour,Course_Specifications_C
34,T2-Text,TNoOfHour2,component][2][3][contact_hour,Course_Specifications_C
35,T2-Text,LNoOfHour,component][2][4][contact_hour,Course_Specifications_C
36,T2-Text,PNoOfHour,component][2][5][contact_hour,Course_Specifications_C
37,T2-Text,ONoOfHour,component][2][6][contact_hour,Course_Specifications_C
38,T2-Text,TotalNoOfHour,component][2][7][contact_hour,Course_Specifications_C
39,T3-Text,NoOfHour2,component][3][2][credit,Course_Specifications_C
40,T3-Text,TNoOfHour22,component][3][3][credit,Course_Specifications_C
41,T3-Text,LNoOfHour2,component][3][4][credit,Course_Specifications_C
42,T3-Text,PNoOfHour2,component][3][5][credit,Course_Specifications_C
43,T3-Text,ONoOfHour2,component][3][6][credit,Course_Specifications_C
44,T3-Text,TotalNoOfHour2,component][3][7][credit,Course_Specifications_C
45,Text,privateHour,additional_hours,Course_Specifications_C
46,Dynamic Table,CourseNQF,national_qualification,Course_Specifications_C
47,DT-Int,LearningOutcomeNo,code,Course_Specifications_C
48,DT-Int,LearningOutcomeType,learning_domain,Course_Specifications_C
49,DT-Text,LearningOutcome,learning_outcome,Course_Specifications_C
50,DT-Para,TeachingStrategies,teaching_strategies,Course_Specifications_C
51,DT-Para,AssessmentMethods,assessment_methods,Course_Specifications_C
52,Dynamic Table,CLOtoPLO,course_map,Course_Specifications_C
53,DT-Int,CLO,course_lo,Course_Specifications_C
54,DT-Int,PLO,program_lo,Course_Specifications_C
55,Dynamic Table,listofassessments,schedule,Course_Specifications_C
56,DT-Text,AssessmentTask,assessment_task,Course_Specifications_C
57,DT-Int,Weekdue,week_due,Course_Specifications_C
58,DT-Real,ProportionofTotal,total,Course_Specifications_C
59,Para,Arrangementsforavailability,student_support,Course_Specifications_D
60,Table,LearningResourcesTable,,Course_Specifications_E
61,T1-Para,LRF,required_textbook,Course_Specifications_E
62,T3-Para,LETM,reference_material,Course_Specifications_E
63,T5-Para,LR,recommended_textbook,Course_Specifications_E
64,T7-Para,LE,electronic_material,Course_Specifications_E
65,T9-Para,OL,learning_material,Course_Specifications_E
66,Table,FacilitiesRequiredTable,,Course_Specifications_F
67,T2-Para,Acc,accommodation,Course_Specifications_F
68,T4-Para,CR,computing_resource,Course_Specifications_F
69,T6-Para,OtherR,other_resource,Course_Specifications_F
70,Table,CourseEvaluationTable,,Course_Specifications_G
71,T1-Para,studfeedbackstrat,strategy,Course_Specifications_G
72,T3-Para,evalstrategies,other_strategy,Course_Specifications_G
73,T5-Para,processofimprovment,process_improve,Course_Specifications_G
74,T7-Para,pocessforvaryaingstudents,process_verify,Course_Specifications_G
75,T9-Para,periodicreviewplan,plan,Course_Specifications_G
76,Int,Programid,,
77,Int,collegeid,,
