ID,Type_AMS,Name_AMS,Name_ACC,Class_ACC
1,Attach,authofprogram,attachment,Eligibility_Requirements_1
2,,,comment,Eligibility_Requirements_1
3,Attach,appofaccred,attachment,Eligibility_Requirements_2
4,,,comment,Eligibility_Requirements_2
5,,,attachment,Eligibility_Requirements_3
6,,,comment,Eligibility_Requirements_3
7,,,attachment,Eligibility_Requirements_4
8,,,comment,Eligibility_Requirements_4
9,Attach,additionalcoursesinfo,attachment,Eligibility_Requirements_5
10,,,comment,Eligibility_Requirements_5
11,,,attachment,Eligibility_Requirements_6
12,,,comment,Eligibility_Requirements_6
13,Attach,studentevaluationsurvey,attachment,Eligibility_Requirements_7
14,,,comment,Eligibility_Requirements_7
15,Attach,studentgraduationresult,attachment,Eligibility_Requirements_8
16,,,comment,Eligibility_Requirements_8
17,Attach,advisorycommittee,attachment,Eligibility_Requirements_9
18,,,comment,Eligibility_Requirements_9
19,Attach,institutionkpisbenchmarks,attachment,Eligibility_Requirements_10
20,,,comment,Eligibility_Requirements_10
21,Attach,nqfinfo,attachment,Eligibility_Requirements_11
22,,,comment,Eligibility_Requirements_11
23,,,attachment,Eligibility_Requirements_12
24,,,comment,Eligibility_Requirements_12
25,,,attachment,Eligibility_Requirements_13
26,,,comment,Eligibility_Requirements_13
27,Attach,StrategicPlan,attachment,Eligibility_Min_Requirements_1
28,,,comment,Eligibility_Min_Requirements_1
29,Attach,name,attachment,Eligibility_Min_Requirements_2
30,,,comment,Eligibility_Min_Requirements_2
31,Attach,dataonKPI,attachment,Eligibility_Min_Requirements_3
32,,,comment,Eligibility_Min_Requirements_3
33,Attach,ProgApprovalprcess,attachment,Eligibility_Min_Requirements_4
34,,,comment,Eligibility_Min_Requirements_4
35,Attach,studevalsurveys2,attachment,Eligibility_Min_Requirements_5
36,,,comment,Eligibility_Min_Requirements_5
37,Attach,studentadvisecounselling,attachment,Eligibility_Min_Requirements_6
38,,,comment,Eligibility_Min_Requirements_6
39,Attach,ExtraCurricularactivities,attachment,Eligibility_Min_Requirements_7
40,,,comment,Eligibility_Min_Requirements_7
41,Attach,LearningResources,attachment,Eligibility_Min_Requirements_8
42,,,comment,Eligibility_Min_Requirements_8
43,Attach,InstitutionalStorage,attachment,Eligibility_Min_Requirements_9
44,,,comment,Eligibility_Min_Requirements_9
45,,,institution,Eligibility_Checklist
46,,,date,Eligibility_Checklist
47,,,program,Eligibility_Checklist
48,Table,programchecklisttable,checklist_table,Eligibility_Checklist
49,T3-Check,T1criteriamet,checklist_table][2][3][met,Eligibility_Checklist
50,T3-Check,t1confirmed,checklist_table][2][5][choices,Eligibility_Checklist
51,T4-Check,T1criteriamet2,checklist_table][3][3][met,Eligibility_Checklist
52,T4-Check,t1confirmed2,checklist_table][3][5][choices,Eligibility_Checklist
53,T5-Check,T1criteriamet3,checklist_table][4][3][met,Eligibility_Checklist
54,T5-Check,t1confirmed3,checklist_table][4][5][choices,Eligibility_Checklist
55,T6-Check,T1criteriamet4,checklist_table][5][3][met,Eligibility_Checklist
56,T6-Check,t1confirmed4,checklist_table][5][5][choices,Eligibility_Checklist
57,T7-Check,T1criteriamet5,checklist_table][6][3][met,Eligibility_Checklist
58,T7-Check,t1confirmed5,checklist_table][6][5][choices,Eligibility_Checklist
59,T8-Check,T1criteriamet6,checklist_table][7][3][met,Eligibility_Checklist
60,T8-Check,t1confirmed6,checklist_table][7][5][choices,Eligibility_Checklist
61,T9-Check,T1criteriamet7,checklist_table][8][3][met,Eligibility_Checklist
62,T9-Check,t1confirmed7,checklist_table][8][5][choices,Eligibility_Checklist
63,T10-Check,T1criteriamet8,checklist_table][9][3][met,Eligibility_Checklist
64,T10-Check,t1confirmed8,checklist_table][9][5][choices,Eligibility_Checklist
65,T11-Check,T1criteriamet9,checklist_table][10][3][met,Eligibility_Checklist
66,T11-Check,t1confirmed9,checklist_table][10][5][choices,Eligibility_Checklist
67,T12-Check,T1criteriamet10,checklist_table][11][3][met,Eligibility_Checklist
68,T12-Check,t1confirmed10,checklist_table][11][5][choices,Eligibility_Checklist
69,T13-Check,T1criteriamet11,checklist_table][12][3][met,Eligibility_Checklist
70,T13-Check,t1confirmed11,checklist_table][12][5][choices,Eligibility_Checklist
71,T14-Check,T1criteriamet12,checklist_table][13][3][met,Eligibility_Checklist
72,T14-Check,t1confirmed12,checklist_table][13][5][choices,Eligibility_Checklist
73,,,checklist_table][14][3][met,Eligibility_Checklist
74,,,checklist_table][14][5][choices,Eligibility_Checklist
75,Int,Programid,,
76,Int,collegeid,,
