ID,Type_AMS,Name_AMS,Name_ACC,Class_ACC
1,Text,Institution,institution,Field_Report
2,Date,DateofReport,date_of_report,Field_Report
3,Text,College,college,Field_Report
4,Text,Department,department,Field_Report
5,Text,Program,program,Field_Report
6,Text,Track,track,Field_Report
7,Text,Fieldexperiencecoursetitleandcode,field_experience_code,Field_Report_A
8,Text,CourseTitle,field_experience,Field_Report_A
9,Int,Credithours,credit_hours,Field_Report_A
10,Text,Nameandtitleoffaculty,name_and_title,Field_Report_A
11,Text,Dates,dates,Field_Report_A
12,Text,Times,time_1,Field_Report_A
13,,,time_2,Field_Report_A
14,Text,Leveloryearofthefieldexperience,level_or_year,Field_Report_A
15,Dynamic Table,ListOfNamesAndAdresses,list_name,Field_Report_A
16,DT-Para,nameaddress,name_and_address,Field_Report_A
17,DT-Text,ContactPerson,contact_name,Field_Report_A
18,DT-Text,ContactInfo,contact_information,Field_Report_A
19,Table,FieldExperienceModificationsTable,field_experiance_modifiactions,Field_Report_B
20,T1-Para,ReasonforModificationC,field_experiance_modifiactions][2][2][reason_for_modification,Field_Report_B
21,T1-Para,ActionTakenC,field_experiance_modifiactions][2][3][action_taken,Field_Report_B
22,T1-Para,ResponsibilityC,field_experiance_modifiactions][2][4][responsibility,Field_Report_B
23,T1-Para,ImplicationsforFutureC,field_experiance_modifiactions][2][5][implications_for_future,Field_Report_B
24,T2-Para,ReasonforModificationC2,field_experiance_modifiactions][3][2][reason_for_modification,Field_Report_B
25,T2-Para,ActionTakenC2,field_experiance_modifiactions][3][3][action_taken,Field_Report_B
26,T2-Para,ResponsibilityC2,field_experiance_modifiactions][3][4][responsibility,Field_Report_B
27,T2-Para,ImplicationsforFutureC2,field_experiance_modifiactions][3][5][implications_for_future,Field_Report_B
28,T3-Para,ReasonforModificationC3,field_experiance_modifiactions][4][2][reason_for_modification,Field_Report_B
29,T3-Para,ActionTakenC3,field_experiance_modifiactions][4][3][action_taken,Field_Report_B
30,T3-Para,ResponsibilityC3,field_experiance_modifiactions][4][4][responsibility,Field_Report_B
31,T3-Para,ImplicationsforFutureC3,field_experiance_modifiactions][4][5][implications_for_future,Field_Report_B
32,T4-Para,ReasonforModificationC4,field_experiance_modifiactions][5][2][reason_for_modification,Field_Report_B
33,T4-Para,ActionTakenC4,field_experiance_modifiactions][5][3][action_taken,Field_Report_B
34,T4-Para,ResponsibilityC4,field_experiance_modifiactions][5][4][responsibility,Field_Report_B
35,T4-Para,ImplicationsforFutureC4,field_experiance_modifiactions][5][5][implications_for_future,Field_Report_B
36,T5-Para,ReasonforModificationC5,field_experiance_modifiactions][6][2][reason_for_modification,Field_Report_B
37,T5-Para,ActionTakenC5,field_experiance_modifiactions][6][3][action_taken,Field_Report_B
38,T5-Para,ResponsibilityC5,field_experiance_modifiactions][6][4][responsibility,Field_Report_B
39,T5-Para,ImplicationsforFutureC5,field_experiance_modifiactions][6][5][implications_for_future,Field_Report_B
40,T6-Para,ReasonforModificationC6,field_experiance_modifiactions][7][2][reason_for_modification,Field_Report_B
41,T6-Para,ActionTakenC6,field_experiance_modifiactions][7][3][action_taken,Field_Report_B
42,T6-Para,ResponsibilityC6,field_experiance_modifiactions][7][4][responsibility,Field_Report_B
43,T6-Para,ImplicationsforFutureC6,field_experiance_modifiactions][7][5][implications_for_future,Field_Report_B
44,T7-Para,ReasonforModificationC7,field_experiance_modifiactions][8][2][reason_for_modification,Field_Report_B
45,T7-Para,ActionTakenC7,field_experiance_modifiactions][8][3][action_taken,Field_Report_B
46,T7-Para,ResponsibilityC7,field_experiance_modifiactions][8][4][responsibility,Field_Report_B
47,T7-Para,ImplicationsforFutureC7,field_experiance_modifiactions][8][5][implications_for_future,Field_Report_B
48,T8-Para,ReasonforModificationC8,field_experiance_modifiactions][9][2][reason_for_modification,Field_Report_B
49,T8-Para,ActionTakenC8,field_experiance_modifiactions][9][3][action_taken,Field_Report_B
50,T8-Para,ResponsibilityC8,field_experiance_modifiactions][9][4][responsibility,Field_Report_B
51,T8-Para,ImplicationsforFutureC8,field_experiance_modifiactions][9][5][implications_for_future,Field_Report_B
52,Int,Numberofstudents,number_of_students,Field_Report_C
53,Int,Studentcompleting,student_completing,Field_Report_C
54,Table,DistributionofGradesTable,distribution_of_grades,Field_Report_C
55,T1-Int,NumberofStudentsC,distribution_of_grades][2][2][num_of_student,Field_Report_C
56,T1-Int,StudentPercentageC,distribution_of_grades][2][3][student_percent,Field_Report_C
57,T1-Para,ExplanationofDistributionofGradesC,distribution_of_grades][2][4][analysis,Field_Report_C
58,T2-Int,NumberofStudentsC2,distribution_of_grades][3][2][num_of_student,Field_Report_C
59,T2-Int,StudentPercentageC2,distribution_of_grades][3][3][student_percent,Field_Report_C
60,T2-Para,ExplanationofDistributionofGradesC2,distribution_of_grades][3][4][analysis,Field_Report_C
61,T3-Int,NumberofStudentsC3,distribution_of_grades][4][2][num_of_student,Field_Report_C
62,T3-Int,StudentPercentageC3,distribution_of_grades][4][3][student_percent,Field_Report_C
63,T3-Para,ExplanationofDistributionofGradesC3,distribution_of_grades][4][4][analysis,Field_Report_C
64,T4-Int,NumberofStudentsC4,distribution_of_grades][5][2][num_of_student,Field_Report_C
65,T4-Int,StudentPercentageC4,distribution_of_grades][5][3][student_percent,Field_Report_C
66,T4-Para,ExplanationofDistributionofGradesC4,distribution_of_grades][5][4][analysis,Field_Report_C
67,T5-Int,NumberofStudentsC5,distribution_of_grades][6][2][num_of_student,Field_Report_C
68,T5-Int,StudentPercentageC5,distribution_of_grades][6][3][student_percent,Field_Report_C
69,T5-Para,ExplanationofDistributionofGradesC5,distribution_of_grades][6][4][analysis,Field_Report_C
70,T6-Int,NumberofStudentsC6,distribution_of_grades][7][2][num_of_student,Field_Report_C
71,T6-Int,StudentPercentageC6,distribution_of_grades][7][3][student_percent,Field_Report_C
72,T6-Para,ExplanationofDistributionofGradesC6,distribution_of_grades][7][4][analysis,Field_Report_C
73,T7-Int,NumberofStudentsC7,distribution_of_grades][8][2][num_of_student,Field_Report_C
74,T7-Int,StudentPercentageC7,distribution_of_grades][8][3][student_percent,Field_Report_C
75,T7-Para,ExplanationofDistributionofGradesC7,distribution_of_grades][8][4][analysis,Field_Report_C
76,T8-Int,NumberofStudentsC8,distribution_of_grades][9][2][num_of_student,Field_Report_C
77,T8-Int,StudentPercentageC8,distribution_of_grades][9][3][student_percent,Field_Report_C
78,T8-Para,ExplanationofDistributionofGradesC8,distribution_of_grades][9][4][analysis,Field_Report_C
79,T9-Int,NumberofStudentsC9,distribution_of_grades][10][2][num_of_student,Field_Report_C
80,T9-Int,StudentPercentageC9,distribution_of_grades][10][3][student_percent,Field_Report_C
81,T9-Para,ExplanationofDistributionofGradesC9,distribution_of_grades][10][4][analysis,Field_Report_C
82,T10-Int,NumberofStudentsC10,distribution_of_grades][11][2][num_of_student,Field_Report_C
83,T10-Int,StudentPercentageC10,distribution_of_grades][11][3][student_percent,Field_Report_C
84,T10-Para,ExplanationofDistributionofGradesC10,distribution_of_grades][11][4][analysis,Field_Report_C
85,T11-Int,NumberofStudentsC11,distribution_of_grades][12][2][num_of_student,Field_Report_C
86,T11-Int,StudentPercentageC11,distribution_of_grades][12][3][student_percent,Field_Report_C
87,T11-Para,ExplanationofDistributionofGradesC11,distribution_of_grades][12][4][analysis,Field_Report_C
88,Para,Analyzespecialfactors,analyze_spcial,Field_Report_C
89,Para,organizationaladministrativedifficulties,organizational,Field_Report_D
90,Para,Consequencesofanydifficulties,consequences,Field_Report_D
91,Attach,Studentevaluationofthefieldexperience,student_evalaution,Field_Report_E
92,,,student_evaluation_report,Field_Report_E
93,Para,Listthemostimportantrecommendations,important_recommendations,Field_Report_E
94,Para,Responseofinstructor,response_of_instructor,Field_Report_E
95,Para,OtherEvaluation,other_evaluation,Field_Report_E
96,,,other_evaluation_report,Field_Report_E
97,Para,ListthemostimportanC2,important_recommendations2,Field_Report_E
98,Para,ResponseofinstructorC2,response_of_instructor2,Field_Report_E
99,Dynamic Table,ListofPorgressActions,progress_on_actions,Field_Report_G
100,DT-Para,ActionRecommneded,recommendation,Field_Report_G
101,DT-Para,ActionTaken,action,Field_Report_G
102,DT-Para,ActionResults,results,Field_Report_G
103,DT-Para,ActionsAnalysis,analysis,Field_Report_G
104,Para,ListwhatactionshavebeentakenC,list_what_Action_have,Field_Report_G
105,Dynamic Table,ActionsforNextyear,action_plan_next_year,Field_Report_G
106,DT-Para,Recommendation,action_recommendation,Field_Report_G
107,DT-Para,Action,action_points,Field_Report_G
108,DT-Date,StartDate,start_date,Field_Report_G
109,DT-Date,CompletionDate,completion_date,Field_Report_G
110,DT-Text,PersonResponsible,Person,Field_Report_G
