ID,Type_AMS,Name_AMS,Name_ACC,Class_ACC
1,Text,Institution,institution,Field_Experience_Specification
2,Date,DateOfReport,date,Field_Experience_Specification
3,Text,CollegeDepartment,college,Field_Experience_Specification
4,,,department,Field_Experience_Specification
5,Text,Program,program,Field_Experience_Specification
6,Text,Track,track,Field_Experience_Specification
7,Text,coursecode,course_code,Field_Experience_Specification_A
8,Text,CourseTitle,course,Field_Experience_Specification_A
9,Real,CreditHours,credit,Field_Experience_Specification_A
10,Text,TitleOfFaculty,member,Field_Experience_Specification_A
11,Text,CourseDates,date,Field_Experience_Specification_A
12,Text,CourseTimes,time_1,Field_Experience_Specification_A
13,,,time_2,Field_Experience_Specification_A
14,Text,LevelYear,level,Field_Experience_Specification_A
15,Dynamic Table,FESA6NamesAddresses,contact_info,Field_Experience_Specification_A
16,DT-Para,nameaddress,name_and_address,Field_Experience_Specification_A
17,DT-Text,ContactPerson,contact_name,Field_Experience_Specification_A
18,DT-Text,ContactInfo,contact_information,Field_Experience_Specification_A
19,Dynamic Table,NQFTable,national_qualification,Field_Experience_Specification_B
20,DT-Int,LearningOutcomeNo,code,Field_Experience_Specification_B
21,DT-Int,LearningOutcomeType,learning_domain,Field_Experience_Specification_B
22,DT-Text,LearningOutcome,learning_outcome,Field_Experience_Specification_B
23,DT-Para,TeachingStrategies,teaching_strategies,Field_Experience_Specification_B
24,DT-Para,AssessmentMethods,assessment_methods,Field_Experience_Specification_B
25,Para,majorStudentActivity,activity,Field_Experience_Specification_C
26,Dynamic Table,c2table,assignment,Field_Experience_Specification_C
27,DT-Text,assignment,requierd_list,Field_Experience_Specification_C
28,Para,arrangementsmade,follow_up,Field_Experience_Specification_C
29,Attach,AttachFEflowchart,attachment,Field_Experience_Specification_C
30,Table,SupervisoryResponsibilities,responsibility_table,Field_Experience_Specification_C
31,T2-Para,StudentActivityc1,responsibility_table][3][2][student,Field_Experience_Specification_C
32,T2-Para,StudentActivityc2,responsibility_table][3][3][field_teching,Field_Experience_Specification_C
33,T2-Para,StudentActivityc3,responsibility_table][3][4][program_Faculty,Field_Experience_Specification_C
34,T3-Para,StudentActivityc12,responsibility_table][4][2][student,Field_Experience_Specification_C
35,T3-Para,StudentActivityc22,responsibility_table][4][3][field_teching,Field_Experience_Specification_C
36,T3-Para,StudentActivityc32,responsibility_table][4][4][program_Faculty,Field_Experience_Specification_C
37,T4-Para,StudentActivityc13,responsibility_table][5][2][student,Field_Experience_Specification_C
38,T4-Para,StudentActivityc23,responsibility_table][5][3][field_teching,Field_Experience_Specification_C
39,T4-Para,StudentActivityc33,responsibility_table][5][4][program_Faculty,Field_Experience_Specification_C
40,T6-Para,supervisionactivityC1,responsibility_table][7][2][student,Field_Experience_Specification_C
41,T6-Para,supervisionactivityC2,responsibility_table][7][3][field_teching,Field_Experience_Specification_C
42,T6-Para,supervisionactivityC3,responsibility_table][7][4][program_Faculty,Field_Experience_Specification_C
43,T7-Para,supervisionactivityC12,responsibility_table][8][2][student,Field_Experience_Specification_C
44,T7-Para,supervisionactivityC22,responsibility_table][8][3][field_teching,Field_Experience_Specification_C
45,T7-Para,supervisionactivityC32,responsibility_table][8][4][program_Faculty,Field_Experience_Specification_C
46,T8-Para,supervisionactivityC13,responsibility_table][9][2][student,Field_Experience_Specification_C
47,T8-Para,supervisionactivityC23,responsibility_table][9][3][field_teching,Field_Experience_Specification_C
48,T8-Para,supervisionactivityC33,responsibility_table][9][4][program_Faculty,Field_Experience_Specification_C
49,T9-Para,supervisionactivityC14,responsibility_table][10][2][student,Field_Experience_Specification_C
50,T9-Para,supervisionactivityC24,responsibility_table][10][3][field_teching,Field_Experience_Specification_C
51,T9-Para,supervisionactivityC34,responsibility_table][10][4][program_Faculty,Field_Experience_Specification_C
52,T11-Para,planningactivityC1,responsibility_table][12][2][student,Field_Experience_Specification_C
53,T11-Para,planningactivityC2,responsibility_table][12][3][field_teching,Field_Experience_Specification_C
54,T11-Para,planningactivityC3,responsibility_table][12][4][program_Faculty,Field_Experience_Specification_C
55,T12-Para,planningactivityC12,responsibility_table][13][2][student,Field_Experience_Specification_C
56,T12-Para,planningactivityC22,responsibility_table][13][3][field_teching,Field_Experience_Specification_C
57,T12-Para,planningactivityC32,responsibility_table][13][4][program_Faculty,Field_Experience_Specification_C
58,T13-Para,planningactivityC13,responsibility_table][14][2][student,Field_Experience_Specification_C
59,T13-Para,planningactivityC23,responsibility_table][14][3][field_teching,Field_Experience_Specification_C
60,T13-Para,planningactivityC33,responsibility_table][14][4][program_Faculty,Field_Experience_Specification_C
61,T14-Para,planningactivityC14,responsibility_table][15][2][student,Field_Experience_Specification_C
62,T14-Para,planningactivityC24,responsibility_table][15][3][field_teching,Field_Experience_Specification_C
63,T14-Para,planningactivityC34,responsibility_table][15][4][program_Faculty,Field_Experience_Specification_C
64,T15-Para,planningactivityC15,responsibility_table][16][2][student,Field_Experience_Specification_C
65,T15-Para,planningactivityC25,responsibility_table][16][3][field_teching,Field_Experience_Specification_C
66,T15-Para,planningactivityC35,responsibility_table][16][4][program_Faculty,Field_Experience_Specification_C
67,T17-Para,AssessmentActivityC1,responsibility_table][18][2][student,Field_Experience_Specification_C
68,T17-Para,AssessmentActivityC2,responsibility_table][18][3][field_teching,Field_Experience_Specification_C
69,T17-Para,AssessmentActivityC3,responsibility_table][18][4][program_Faculty,Field_Experience_Specification_C
70,T18-Para,AssessmentActivityC12,responsibility_table][19][2][student,Field_Experience_Specification_C
71,T18-Para,AssessmentActivityC22,responsibility_table][19][3][field_teching,Field_Experience_Specification_C
72,T18-Para,AssessmentActivityC32,responsibility_table][19][4][program_Faculty,Field_Experience_Specification_C
73,T19-Para,AssessmentActivityC13,responsibility_table][20][2][student,Field_Experience_Specification_C
