ID,Type_AMS,Name_AMS,Name_ACC,Class_ACC
1,Text,NameofInstitutionField,institution,Program_Profile
2,Text,NameofCollege,college,Program_Profile
3,Text,NameofDepartment,department,Program_Profile
4,Text,ProgramCode,code_of_program,Program_Profile
5,Text,NameofProgram,title_of_program,Program_Profile
6,Text,CDeanName,college_dean][1][2][name,Program_Profile
7,Text,CDeanAddress,college_dean][3][2][address,Program_Profile
8,Text,CDeanTelephone,college_dean][4][2][telephone,Program_Profile
9,Text,CDeanEmail,college_dean][5][2][email,Program_Profile
10,Text,CVDeanQName,college_vice_dean][1][2][name,Program_Profile
11,Text,CVDeanQAddress,college_vice_dean][3][2][address,Program_Profile
12,Text,CVDeanQTelephone,college_vice_dean][4][2][telephone,Program_Profile
13,Text,CVDeanQEmail,college_vice_dean][5][2][email,Program_Profile
14,Text,CVDeanQTelephone,department_head][1][2][name,Program_Profile
15,Text,DeptHeadAddress,department_head][3][2][address,Program_Profile
16,Text,DeptHeadTelephone,department_head][4][2][telephone,Program_Profile
17,Text,DeptHeadEmail,department_head][5][2][email,Program_Profile
18,Date,programstartdate,start_date,Program_Profile
19,Int,credithours,credit_hour,Program_Profile
20,Text,awardgranted,award,Program_Profile
21,Para,majortracks,major_tracks,Program_Profile
22,Para,Professionaloccupations,professional_occupations,Program_Profile
23,Para,branches,branches,Program_Profile
24,Date,DateOfApprovalInst,date_of_approval_of_program,Program_Profile
25,Date,DateOfApprovalAuth,date_of_approval_authorized,Program_Profile
26,Date,DateOfmostrecentselfstudy,date_of_most_recent,Program_Profile
27,Table,ProgramKPIs,table_1,Program_Profile
28,,,code,Program_Profile
29,,,indicator,Program_Profile
30,,,value,Program_Profile
31,Int,totalEnrolSMale,table_2][3][2][total_Student_enrollment_s,Program_Profile
32,Int,totalEnrolOMale,table_2][3][3][total_Student_enrollment_o,Program_Profile
33,Int,NoPhDSMale,table_2][3][4][numb_of_phd_holders_s,Program_Profile
34,Int,NoPhDOMale,table_2][3][5][numb_of_phd_holders_o,Program_Profile
35,Int,NoTeachingStaffSMale,table_2][3][6][numb_of_Teaching_staff_s,Program_Profile
36,Int,NoTeachingStaffOMale,table_2][3][7][numb_of_Teaching_staff_o,Program_Profile
37,Real,AverageClassSizeMale,table_2][3][8][avg_class_size,Program_Profile
38,Real,AverageTeachingLoadMale,table_2][3][9][avg_teaching_load,Program_Profile
,Real,RatioStuToStaffMale,table_2][3][10][student_to_teaching_staff,Program_Profile
39,Int,totalEnrolSFemale,table_2][4][2][total_Student_enrollment_s,Program_Profile
40,Int,totalEnrolOFemale,table_2][4][3][total_Student_enrollment_o,Program_Profile
41,Int,NoPhDSFemale,table_2][4][4][numb_of_phd_holders_s,Program_Profile
42,Int,NoPhDOFemale,table_2][4][5][numb_of_phd_holders_o,Program_Profile
43,Int,NoTeachingStaffSFemale,table_2][4][6][numb_of_Teaching_staff_s,Program_Profile
44,Int,NoTeachingStaffOFemale,table_2][4][7][numb_of_Teaching_staff_o,Program_Profile
45,Real,AverageClassSizeFemale,table_2][4][8][avg_class_size,Program_Profile
46,Real,AverageTeachingLoadFemale,table_2][4][9][avg_teaching_load,Program_Profile
,Real,RatioStuToStaffFemale,table_2][4][10][student_to_teaching_staff,Program_Profile
47,,,table_2][5][2][total_Student_enrollment_s,Program_Profile
48,,,table_2][5][3][total_Student_enrollment_o,Program_Profile
49,,,table_2][5][4][numb_of_phd_holders_s,Program_Profile
50,,,table_2][5][5][numb_of_phd_holders_o_o,Program_Profile
51,,,table_2][5][6][numb_of_Teaching_staff_s,Program_Profile
52,,,table_2][5][7][numb_of_Teaching_staff_o,Program_Profile
53,,,table_2][5][8][avg_class_size,Program_Profile
54,,,table_2][5][9][avg_teaching_load,Program_Profile
55,Real,RatioStuToStaff,table_2][5][10][student_to_teaching_staff,Program_Profile
58,Int,ProfessorFTMale,table_3][4][1][values,Program_Profile
59,Int,ProfessorPTMale,table_3][4][2][values,Program_Profile
60,Int,ProfessorFTFemale,table_3][4][3][values,Program_Profile
61,Int,ProfessorPTFemale,table_3][4][4][values,Program_Profile
62,Int,AssociateProfessorFTMale,table_3][4][5][values,Program_Profile
63,Int,AssociateProfessorPTMale,table_3][4][6][values,Program_Profile
64,Int,AssociateProfessorFTFemale,table_3][4][7][values,Program_Profile
65,Int,AssociateProfessorPTFemale,table_3][4][8][values,Program_Profile
66,Int,AssistantProfessorFTMale,table_3][4][9][values,Program_Profile
67,Int,AssistantProfessorPTMale,table_3][4][10][values,Program_Profile
68,Int,AssistantProfessorFTFemale,table_3][4][11][values,Program_Profile
69,Int,AssistantProfessorPTFemale,table_3][4][12][values,Program_Profile
70,Int,LecturerFTMale,table_3][4][13][values,Program_Profile
71,Int,LecturerPTMale,table_3][4][14][values,Program_Profile
72,Int,LecturerFTFemale,table_3][4][15][values,Program_Profile
73,Int,LecturerPTFemale,table_3][4][16][values,Program_Profile
74,Int,TAFTMale,table_3][4][17][values,Program_Profile
75,Int,TAPTMale,table_3][4][18][values,Program_Profile
76,Int,TAFTFemale,table_3][4][19][values,Program_Profile
77,Int,TAPTFemale,table_3][4][20][values,Program_Profile
78,,,table_3][4][21][values,Program_Profile
79,,,table_3][4][22][values,Program_Profile
80,Int,DiplomaMaleSaudi,table_4][4][2][undergraduate_diploma_m,Program_Profile
81,Int,DiplomaFemaleSaudi,table_4][4][3][undergraduate_diploma_f,Program_Profile
82,Int,BachelorMaleSaudi,table_4][4][4][postgraduates_phd_m,Program_Profile
83,Int,BachelorFemaleSaudi,table_4][4][5][postgraduates_phd_f,Program_Profile
84,Int,HigherDiplomaMaleSaudi,table_4][4][6][postgraduates_master_m,Program_Profile
85,Int,HigherDiplomaFemaleSaudi,table_4][4][7][postgraduates_master_f,Program_Profile
86,Int,MasterMaleSaudi,table_4][4][8][postgraduates_high_diploma_m,Program_Profile
87,Int,MasterFemaleSaudi,table_4][4][9][postgraduates_high_diploma_f,Program_Profile
