ID,Type_AMS,Name_AMS,Name_ACC,Class_ACC
1,Text,Institution,institution,Program_Specifications
2,Date,DateofReport,date_of_report,Program_Specifications
3,Text,College,college,Program_Specifications
4,,,department,Program_Specifications
5,Text,Dean,dean,Program_Specifications
6,Attach,administrativeFlowchart,program_flowchart,Program_Specifications
7,Dynamic Table,PSCampuses,branches,Program_Specifications
8,DT-Text,campus,branch,Program_Specifications
9,Text,programcode,program_code,Program_Specifications_A
10,Text,programtitle,program_title,Program_Specifications_A
11,Int,credithours,total_credit_hour,Program_Specifications_A
12,Text,awardgranted,program_completion,Program_Specifications_A
13,Para,majortracks,tracks_and_pathway,Program_Specifications_A
14,Para,interexitpoints,exit_point,Program_Specifications_A
15,Para,Professionaloccupations,professional_occupations,Program_Specifications_A
16,Check,newprogram,new_program,Program_Specifications_A
17,Date,plannedstartdate,planned_starting_date,Program_Specifications_A
18,Check,continuingprogram,continuing_program,Program_Specifications_A
19,Int,mostrecenetreview,program_review,Program_Specifications_A
20,,,note,Program_Specifications_A
21,Text,accredreviewby,accreditation_review,Program_Specifications_A
22,Text,accredreviewbyother,other,Program_Specifications_A
23,Text,progcoord,program_coordinator,Program_Specifications_A
24,Dynamic Table,PSCampusesApproval,approval_date,Program_Specifications_A
25,DT-Text,campus,campus_branch_location,Program_Specifications_B
26,DT-Text,approvalby,approval_by,Program_Specifications_B
27,DT-Date,DateofApproval,date,Program_Specifications_B
28,Para,reasonswhyestablished,economic_reasons,Program_Specifications_B
29,Para,relevancemission,program_mission,Program_Specifications_B
30,RB,f4b2a,program_courses,Program_Specifications_B
31,Para,f4Bawhathasbeendone,courses_meet_student,Program_Specifications_B
32,RB,f4b2b,program_require_students,Program_Specifications_B
33,Para,f4Bawhathasbeendoneb,courses_meet_department_student,Program_Specifications_B
34,RB,f4b3,students_characteristics,Program_Specifications_B
35,Para,f4Bmodifications,modifications_and_services,Program_Specifications_B
36,Para,programmmissionstate,program_missions,Program_Specifications_C
37,,,list_of_goals,Program_Specifications_C
38,Dynamic Table,PSObjectives,goals_and_objective,Program_Specifications_C
39,DT-Para,Objectives,objectives,Program_Specifications_C
40,DT-Para,PerformanceIndicators,measurable_indicators,Program_Specifications_C
41,DT-Para,Strategies,major_strategies,Program_Specifications_C
42,Dynamic Table,PsProgramStudyPlan,curriculum_study_plan_levels,Program_Specifications_D
43,DT-Text,level,level,Program_Specifications_D
44,DT-Text,coursecode,course_code,Program_Specifications_D
45,DT-Text,coursetitle,course_title,Program_Specifications_D
46,DT-RB,courserequired,required_or_elective,Program_Specifications_D
47,DT-Para,prerequisites,prerequired_or_elective,Program_Specifications_D
48,DT-Real,CreditHours,credit_houre,Program_Specifications_D
49,DT-Text,CollegeDepartment,college_or_department,Program_Specifications_D
50,Para,reqfieldexpA,experience_activity,Program_Specifications_D
51,Para,reqfieldexpB,field_experience,Program_Specifications_D
52,Para,reqfieldexpC,time_allocation,Program_Specifications_D
53,Int,secDCredithoursifany,credit_hours_2,Program_Specifications_D
54,,,project_summery,Program_Specifications_D
55,Para,researchreqfieldexpA,a_description,Program_Specifications_D
56,Para,researchreqfieldexpB,learning_outcomes,Program_Specifications_D
57,Para,researchreqfieldexpC,stages,Program_Specifications_D
58,Int,researchsecDCredithoursifany,credit_hours_3,Program_Specifications_D
59,Para,researchreqfieldexpCE,academic_advising,Program_Specifications_D
60,Para,researchreqfieldexpCF,assessment_procedures,Program_Specifications_D
61,Dynamic Table,PsNQFDomainsLO,national_qualification,Program_Specifications_D
62,DT-Int,LearningOutcomeNo,code,Program_Specifications_D
63,DT-Int,LearningOutcomeType,learning_domain,Program_Specifications_D
64,DT-Text,LearningOutcome,learning_outcomes,Program_Specifications_D
65,DT-Para,TeachingStrategies,teaching_strategies,Program_Specifications_D
66,DT-Para,AssessmentMethods,assessment_methods,Program_Specifications_D
67,Dynamic Table,PSMappingMatrix,program_outcomes,Program_Specifications_D
68,DT-Int,LearningOutcomeNo,learning_outcomes,Program_Specifications_D
69,DT-Int,CourseCode,course_code,Program_Specifications_D
70,,,level,Program_Specifications_D
71,Attach,handbookattach,handbook,Program_Specifications_D
72,Attach,AttendanceCompletion,handbooks,Program_Specifications_D
73,Para,regulations,processes,Program_Specifications_E
74,Para,studentacadcounselling,academic_counselling,Program_Specifications_F
75,Attach,attachstudentappeal,student_appeals,Program_Specifications_F
76,Para,learningresources1a,processes,Program_Specifications_G
77,Para,learningresources1b,teaching_staff_processes,Program_Specifications_G
78,Para,learningresources2,text_book,Program_Specifications_G
79,Para,learningresources3,resourses,Program_Specifications_G
80,Para,learningresources4,acquisition_and_approval,Program_Specifications_G
81,Para,sectionH1appointments,appointments,Program_Specifications_H
82,Para,sectionH2a,processes,Program_Specifications_H
83,Para,sectionH2b,advisory_committee,Program_Specifications_H
84,Para,sectionH3a,skills,Program_Specifications_H
85,Para,sectionH3b,research,Program_Specifications_H
86,Para,sectionH4a,orientation,Program_Specifications_H
87,Para,sectionH5a,summary,Program_Specifications_H
88,Para,sectionIa,qa_processes,Program_Specifications_I
89,Para,sectionIb,faculty_skills,Program_Specifications_I
90,Para,sectionI2i,student,Program_Specifications_I
91,Para,sectionI2ii,advisors,Program_Specifications_I
92,Para,sectionI2iii,stakeholders,Program_Specifications_I
93,Attach,PsAttachments,regulation,Program_Specifications_I
94,,,specifications,Program_Specifications_I
95,Int,Programid,,
96,Int,collegeid,,
